template_id,scale,rotation,width,height,edge_count,component_count,contour_count,edge_density,edge_continuity,filepath
T_0.150_000,0.150,0,24,15,102,1,2,0.2833333333333333,1.0,outputs/template_bank/rotations/scale_0.150_rot_000.png
T_0.150_090,0.150,90,15,24,91,1,2,0.25277777777777777,1.0,outputs/template_bank/rotations/scale_0.150_rot_090.png
T_0.150_180,0.150,180,24,15,96,1,3,0.26666666666666666,1.0,outputs/template_bank/rotations/scale_0.150_rot_180.png
T_0.150_270,0.150,270,15,24,108,1,3,0.3,1.0,outputs/template_bank/rotations/scale_0.150_rot_270.png
T_0.178_000,0.178,0,29,18,115,2,4,0.22817460317460317,0.991304347826087,outputs/template_bank/rotations/scale_0.178_rot_000.png
T_0.178_090,0.178,90,18,29,136,1,2,0.26053639846743293,1.0,outputs/template_bank/rotations/scale_0.178_rot_090.png
T_0.178_180,0.178,180,29,18,139,1,3,0.2662835249042146,1.0,outputs/template_bank/rotations/scale_0.178_rot_180.png
T_0.178_270,0.178,270,18,29,116,1,3,0.23015873015873015,1.0,outputs/template_bank/rotations/scale_0.178_rot_270.png
T_0.206_000,0.206,0,33,21,140,1,6,0.20202020202020202,1.0,outputs/template_bank/rotations/scale_0.206_rot_000.png
T_0.206_090,0.206,90,21,33,139,1,4,0.20684523809523808,1.0,outputs/template_bank/rotations/scale_0.206_rot_090.png
T_0.206_180,0.206,180,33,21,139,1,4,0.20684523809523808,1.0,outputs/template_bank/rotations/scale_0.206_rot_180.png
T_0.206_270,0.206,270,21,33,144,1,3,0.2077922077922078,1.0,outputs/template_bank/rotations/scale_0.206_rot_270.png
T_0.233_000,0.233,0,38,24,160,1,6,0.18018018018018017,1.0,outputs/template_bank/rotations/scale_0.233_rot_000.png
T_0.233_090,0.233,90,24,38,190,1,5,0.21396396396396397,1.0,outputs/template_bank/rotations/scale_0.233_rot_090.png
T_0.233_180,0.233,180,38,24,184,3,7,0.2072072072072072,0.6630434782608695,outputs/template_bank/rotations/scale_0.233_rot_180.png
T_0.233_270,0.233,270,24,38,163,1,4,0.18355855855855857,1.0,outputs/template_bank/rotations/scale_0.233_rot_270.png
T_0.261_000,0.261,0,42,27,213,3,8,0.18783068783068782,0.6666666666666666,outputs/template_bank/rotations/scale_0.261_rot_000.png
T_0.261_090,0.261,90,27,42,197,2,7,0.17795844625112917,0.8020304568527918,outputs/template_bank/rotations/scale_0.261_rot_090.png
T_0.261_180,0.261,180,42,27,195,2,7,0.17615176151761516,0.8,outputs/template_bank/rotations/scale_0.261_rot_180.png
T_0.261_270,0.261,270,27,42,213,3,8,0.18783068783068782,0.6666666666666666,outputs/template_bank/rotations/scale_0.261_rot_270.png
T_0.289_000,0.289,0,47,30,236,2,5,0.17101449275362318,0.9957627118644068,outputs/template_bank/rotations/scale_0.289_rot_000.png
T_0.289_090,0.289,90,30,47,212,1,3,0.1536231884057971,1.0,outputs/template_bank/rotations/scale_0.289_rot_090.png
T_0.289_180,0.289,180,47,30,220,1,4,0.15942028985507245,1.0,outputs/template_bank/rotations/scale_0.289_rot_180.png
T_0.289_270,0.289,270,30,47,234,1,3,0.16956521739130434,1.0,outputs/template_bank/rotations/scale_0.289_rot_270.png
T_0.317_000,0.317,0,51,33,257,6,6,0.15575757575757576,0.5447470817120622,outputs/template_bank/rotations/scale_0.317_rot_000.png
T_0.317_090,0.317,90,33,51,258,3,3,0.15636363636363637,0.5426356589147286,outputs/template_bank/rotations/scale_0.317_rot_090.png
T_0.317_180,0.317,180,51,33,255,5,5,0.159375,0.3686274509803922,outputs/template_bank/rotations/scale_0.317_rot_180.png
T_0.317_270,0.317,270,33,51,261,5,6,0.163125,0.3946360153256705,outputs/template_bank/rotations/scale_0.317_rot_270.png
T_0.344_000,0.344,0,55,35,292,4,5,0.15168831168831168,0.4828767123287671,outputs/template_bank/rotations/scale_0.344_rot_000.png
T_0.344_090,0.344,90,35,55,259,5,5,0.13703703703703704,0.3938223938223938,outputs/template_bank/rotations/scale_0.344_rot_090.png
T_0.344_180,0.344,180,55,35,261,7,7,0.1380952380952381,0.4942528735632184,outputs/template_bank/rotations/scale_0.344_rot_180.png
T_0.344_270,0.344,270,35,55,285,5,6,0.14805194805194805,0.45964912280701753,outputs/template_bank/rotations/scale_0.344_rot_270.png
T_0.372_000,0.372,0,60,38,311,7,7,0.13871543264942016,0.18971061093247588,outputs/template_bank/rotations/scale_0.372_rot_000.png
T_0.372_090,0.372,90,38,60,308,7,7,0.13737734165923282,0.19155844155844157,outputs/template_bank/rotations/scale_0.372_rot_090.png
T_0.372_180,0.372,180,60,38,313,2,2,0.13960749330954506,0.5239616613418531,outputs/template_bank/rotations/scale_0.372_rot_180.png
T_0.372_270,0.372,270,38,60,310,3,3,0.13826940231935772,0.535483870967742,outputs/template_bank/rotations/scale_0.372_rot_270.png
T_0.400_000,0.400,0,64,41,341,6,8,0.12995426829268292,0.3812316715542522,outputs/template_bank/rotations/scale_0.400_rot_000.png
T_0.400_090,0.400,90,41,64,320,5,7,0.12388695315524584,0.2625,outputs/template_bank/rotations/scale_0.400_rot_090.png
T_0.400_180,0.400,180,64,41,310,7,7,0.1200154858691444,0.267741935483871,outputs/template_bank/rotations/scale_0.400_rot_180.png
T_0.400_270,0.400,270,41,64,338,7,9,0.1288109756097561,0.2603550295857988,outputs/template_bank/rotations/scale_0.400_rot_270.png
